project,className,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WMC,NOA,NOPA,NOP,McCABE,BUSWEIMER
junit4,org.junit.internal.matchers.ThrowableCauseMatcher,957,662.1589051295417,7,4,0,0,75,12,21,21,0,0,-0.4,0,0.0019047619047619048,0,0,0.0,7,75,0,0,7,0.0
junit4,org.junit.internal.builders.SuiteMethodBuilder,24,148.49371912089873,4,3,2,2,0,0,1,1,0,1,0.0,0,0.0,0,0,1.0,2,0,0,0,7,0.15051810443401337
junit4,org.junit.internal.builders.IgnoredBuilder,15,81.69858546749478,2,3,1,1,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,0.3364810347557068
junit4,org.junit.internal.builders.NullBuilder,11,54.02691511591508,1,2,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,0.7454220652580261
junit4,org.junit.internal.builders.JUnit3Builder,19,104.19066281604425,4,3,2,2,0,0,1,1,0,1,0.0,0,0.0,0,0,1.0,2,0,0,0,6,0.03725578263401985
junit4,org.junit.internal.builders.JUnit4Builder,12,57.93976484762761,1,3,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,0.7576406002044678
junit4,org.junit.internal.builders.AllDefaultPossibilitiesBuilder,56,288.58432929187563,14,4,7,7,1,1,20,19,1,6,0.0,5,0.2857142857142857,0,0,0.0,7,1,0,1,17,1.6550604777876288E-4
junit4,org.junit.internal.builders.AnnotatedBuilder,116,1210.4541700650204,16,5,12,4,2,2,5,4,1,3,0.0,3,0.375,0,0,0.6666666666666666,4,2,0,2,16,0.0
junit4,org.junit.internal.builders.IgnoredClassRunner,23,101.18732775087629,6,3,3,3,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,5,0.18366211652755737
junit4,org.junit.internal.builders.AnnotatedBuilderTest,107,342.146466613171,40,11,34,34,1,1,0,0,15,15,1.0,0,1.0,2,2,0.0,6,1,0,1,12,0.0
junit4,org.junit.internal.builders.AnnotatedBuilder,2004,394.0466550774755,16,5,0,0,121,19,120,120,0,0,-0.14285714285714285,0,5.165289256198347E-4,0,0,0.0,16,121,1,2,16,0.0
junit4,org.junit.internal.requests.ClassRequest,39,187.03583127827292,4,3,1,1,4,4,2,1,1,1,-1.0,0,0.5,0,0,0.0,3,4,0,4,5,0.021179324015975
junit4,org.junit.internal.requests.FilterRequest,45,330.12599690553276,7,5,5,5,2,2,0,0,1,1,0.0,0,1.0,0,0,0.0,2,2,0,2,5,0.01127571240067482
junit4,org.junit.internal.requests.SortingRequest,25,109.16238423153285,4,5,2,2,2,2,0,0,1,1,0.0,0,1.0,0,0,0.0,2,2,0,2,3,0.047149334102869034
junit4,org.junit.internal.requests.ClassRequest,810,276.1234866636304,5,3,0,0,92,14,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,92,0,3,5,0.0
junit4,org.junit.experimental.ParallelComputer,67,429.757483723018,20,9,12,6,3,2,19,10,9,11,0.19047619047619047,2,0.375,0,0,1.0,8,3,0,3,18,0.0
junit4,org.junit.experimental.theories.internal.AllMembersSupplier,204,1480.3669033114156,72,15,57,1,1,1,95,85,10,25,0.12087912087912088,10,0.3333333333333333,0,0,0.4411764705882353,15,1,0,1,49,0.0
junit4,org.junit.experimental.theories.internal.SpecificDataPointsSupplier,90,329.85315073790235,25,11,20,20,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,18,0.0
junit4,org.junit.experimental.theories.internal.ParameterizedAssertionError,50,335.0415596121856,22,3,16,2,1,1,15,15,0,4,-0.1,6,0.0,0,1,0.8333333333333334,6,1,0,1,16,1.4558545080944896E-4
junit4,org.junit.experimental.theories.internal.Assignments,154,1023.0879962466182,55,11,40,4,3,3,63,21,42,45,0.34065934065934067,4,0.4,1,2,1.0,15,3,0,3,48,0.0
junit4,org.junit.experimental.theories.internal.BooleanSupplier,18,45.667836565851346,3,5,2,2,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,8.343112422153354E-4
junit4,org.junit.experimental.theories.internal.EnumSupplier,30,140.6684359423634,6,5,4,4,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,4,0.007554433774203062
junit4,org.junit.experimental.theories.internal.SpecificDataPointsSupplier,1785,257.8745938324981,13,11,0,0,87,9,78,78,0,0,-0.18181818181818182,0,0.0,0,0,0.0,13,87,0,0,14,0.0
junit4,org.junit.experimental.theories.internal.ParameterizedAssertionError,1070,359.63768563839415,15,3,0,0,96,14,105,105,0,0,-0.15384615384615385,0,6.944444444444445E-4,0,0,0.0,15,96,0,1,15,0.0
junit4,org.junit.experimental.theories.internal.AllMembersSupplier,3787,729.3680088196938,27,15,0,0,88,11,350,349,1,1,-0.07692307692307693,0,0.0012626262626262627,0,0,0.0,27,88,0,1,28,0.0
junit4,org.junit.experimental.theories.PotentialAssignment,52,339.3595086491911,15,1,9,9,0,0,15,15,0,0,-0.5,0,0.0,0,1,0.0,6,0,0,0,21,1.854143920354545E-4
junit4,org.junit.experimental.theories.Theories,305,3188.023756693582,50,16,41,10,0,0,36,36,0,4,-0.14285714285714285,0,0.0,0,0,1.0,9,0,0,0,24,0.0
junit4,org.junit.experimental.theories.ParameterSignature,134,826.5169023303775,48,9,32,1,3,3,99,78,21,28,0.12380952380952381,6,0.22916666666666666,1,1,0.6,16,3,0,3,38,0.0
junit4,org.junit.experimental.theories.ParameterSupplier,43,521.4472884017775,1,1,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,2,0.011852608062326908
junit4,org.junit.experimental.theories.ParameterSignature,2602,423.5043306458135,38,9,0,0,133,15,703,703,0,0,-0.05555555555555555,0,3.957261574990107E-4,0,0,0.0,38,133,0,1,38,0.0
junit4,org.junit.experimental.theories.PotentialAssignment,903,242.7132395858563,5,1,0,0,25,6,9,8,1,1,-0.5,0,0.024,0,0,0.0,5,25,0,0,10,0.0
junit4,org.junit.experimental.theories.suppliers.TestedOnSupplier,25,156.6619406700986,5,5,4,4,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,0.03047388419508934
junit4,org.junit.experimental.theories.suppliers.TestedOnSupplier,574,148.03421799392075,3,5,0,0,38,6,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,38,0,0,3,0.013052787631750107
junit4,org.junit.experimental.results.ResultMatchers,70,584.0898380046666,31,4,21,4,0,0,45,45,0,6,-0.08333333333333333,0,0.0,0,2,1.0,10,0,0,0,23,3.526349610183388E-4
junit4,org.junit.experimental.results.PrintableResult,63,444.18846726562214,14,8,8,8,1,1,9,3,6,7,0.2,2,0.6666666666666666,0,0,2.0,6,1,0,1,10,0.0018271305598318577
junit4,org.junit.experimental.results.FailureList,28,188.01921463169666,4,4,2,2,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,6,0.06731069087982178
junit4,org.junit.experimental.results.ResultMatchers,1198,755.490363347644,18,4,0,0,60,6,152,151,1,1,-0.11764705882352941,0,0.001851851851851852,0,0,0.0,18,60,0,0,18,0.0
junit4,org.junit.experimental.results.PrintableResult,1154,634.9138991379798,12,8,0,0,47,7,66,66,0,0,-0.2,0,0.0017730496453900709,0,0,0.0,12,47,0,1,12,0.0
junit4,org.junit.experimental.runners.Enclosed,45,528.3203728737989,9,5,7,7,0,0,1,1,0,1,0.0,0,0.0,0,0,1.0,2,0,0,0,6,0.0013699319679290056
junit4,org.junit.experimental.runners.Enclosed,861,352.38194557499827,3,5,0,0,62,11,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,62,0,0,3,0.0
junit4,org.junit.experimental.max.CouldNotReadCoreException,15,115.12073406783355,1,0,0,0,1,1,0,0,0,0,1.0,1,0.0,0,0,0.0,1,1,0,1,1,0.9977152347564697
junit4,org.junit.experimental.max.MaxCore,181,1644.2899525721127,55,15,41,1,2,2,85,79,6,19,0.07692307692307693,11,0.21428571428571427,0,1,0.68,14,2,0,2,42,0.0
junit4,org.junit.experimental.max.MaxHistory,173,1266.460526657693,29,14,18,18,4,3,50,45,5,6,-0.08888888888888889,3,0.1590909090909091,0,1,1.0,11,4,0,4,24,0.0
junit4,org.junit.experimental.categories.CategoryValidator,62,577.1181474597028,10,14,8,4,1,1,1,1,0,1,0.0,1,0.5,0,0,0.5,2,1,0,1,7,1.0411476250737906E-4
junit4,org.junit.experimental.categories.Categories,385,2779.7777689266236,39,11,29,2,0,0,45,45,0,9,0.0,0,0.0,0,0,1.0,10,0,0,0,30,0.0
junit4,org.junit.experimental.categories.ExcludeCategories,52,434.3206555832047,1,5,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,7.744059548713267E-4
junit4,org.junit.experimental.categories.CategoryFilterFactory,47,368.06312076167114,9,6,6,3,0,0,3,3,0,2,0.0,0,0.0,0,0,1.0,3,0,0,0,9,0.007252368610352278
junit4,org.junit.experimental.categories.IncludeCategories,52,428.6772358356517,1,5,0,0,0,0,0,0,0,0,1.0,0,0.0,0,0,0.0,1,0,0,0,3,8.684859494678676E-4
junit4,org.junit.experimental.categories.CategoryFilterFactoryTest,66,270.9331111880059,12,12,10,10,3,3,0,0,1,1,0.0,0,0.8333333333333334,0,0,0.0,2,3,2,1,4,1.2222662917338312E-4
junit4,org.junit.experimental.categories.CategoryValidator,1136,737.1701114261092,4,14,0,0,66,10,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,66,0,0,4,0.0
junit4,org.junit.experimental.categories.CategoryFilterFactory,908,650.7974291397944,7,6,0,0,30,7,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,30,0,0,9,0.0
junit4,org.junit.Assert,958,4117.094899574014,150,5,83,0,0,0,2211,2211,0,155,0.04149184149184149,0,0.0,2,4,0.4482758620689655,67,0,0,0,209,0.0
junit4,org.junit.AssumptionViolatedException,46,438.0835167161329,4,1,0,0,1,1,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,1,0,1,4,0.015510404482483864
junit4,org.junit.ComparisonFailure,171,1542.9406640727127,5,0,1,1,4,3,1,0,5,5,0.6666666666666666,1,0.4375,1,1,0.0,4,4,0,4,8,0.0
